Fold,MCC,ACC,AUC,AUPR,F1
1,0.8660713015622857,0.9294605809128631,0.9777241379310345,0.9851794878740218,0.9276595744680851
2,0.8766819885215656,0.9375,0.9689053855311998,0.9754721877453465,0.927536231884058
3,0.7989204723880534,0.8958333333333334,0.9583767632548121,0.966738554287962,0.8847926267281105
4,0.8110764830853259,0.9041666666666667,0.9647986482680936,0.9634182149311401,0.882051282051282
5,0.836940704603937,0.9208333333333333,0.9764285714285714,0.9710679653811374,0.9045226130653266
Mean,0.8379381900322335,0.9175587828492393,0.9692467012827422,0.9723752820439217,0.9053124656393724
Std,0.033680418840872896,0.01733040357283734,0.008085533620481993,0.008474215889649615,0.02211368002533988
