Fold,MCC,ACC,AUC,AUPR,F1
1,0.7629444115416661,0.8796680497925311,0.9421009098428454,0.9528021463451211,0.8776371308016878
2,0.7073572880628028,0.8506224066390041,0.9353430353430353,0.9388438327547111,0.8200000000000001
3,0.7377465407926932,0.8672199170124482,0.9429673508747761,0.952037725382045,0.8584070796460177
4,0.6442388165160554,0.8257261410788381,0.9025828186412127,0.8924677325013174,0.78125
5,0.7513444497232814,0.8791666666666667,0.9224303725336562,0.9210193826910958,0.8497409326424871
Mean,0.7207263013272998,0.8604806362378976,0.9290848974471052,0.931434163934858,0.8374070286180386
Std,0.04753576085734482,0.02273654603301275,0.016940677854202307,0.025312304594966587,0.03764374105307982
