Fold,MCC,ACC,AUC,AUPR,F1
1,0.8552002186528174,0.9253112033195021,0.9715862068965517,0.9790267221782077,0.9243697478991596
2,0.8687946333085369,0.9333333333333333,0.9676447930527349,0.9740279891999003,0.9223300970873787
3,0.8461505018110376,0.9208333333333333,0.9635536098950733,0.9705811465525401,0.9140271493212669
4,0.7322607210786721,0.8666666666666667,0.9546606589693045,0.9542766623105767,0.8367346938775511
5,0.8816002765534092,0.9416666666666667,0.9818571428571429,0.9795427136762596,0.9263157894736842
Mean,0.8368012702808947,0.9175622406639004,0.9678604823341616,0.9714910467834968,0.904755495531808
Std,0.05996912142870386,0.029541735895629483,0.010032678334404365,0.010310368221387848,0.0383119590086003
