Fold,MCC,ACC,AUC,AUPR,F1
1,0.8734902859845768,0.9336099585062241,0.967103448275862,0.9776912487757077,0.9322033898305084
2,0.8531354774849118,0.925,0.9584004482106592,0.9675900849553399,0.911764705882353
3,0.849645581746025,0.9208333333333333,0.9713709957612398,0.9762720335883701,0.912442396313364
4,0.7370857084912168,0.8666666666666667,0.9345254857786539,0.942108881261584,0.831578947368421
5,0.8383982160497423,0.9208333333333333,0.9685,0.9681148321491092,0.8994708994708994
Mean,0.8303510539512946,0.9133886583679114,0.959980075605283,0.9663554161460223,0.8974920677731092
Std,0.053655343584373266,0.026634165619526817,0.015029271255144108,0.014312187189149506,0.03866701312941883
