Fold,MCC,ACC,AUC,AUPR,F1
1,0.8660096824499524,0.9294605809128631,0.9736696994761511,0.979889334361362,0.9270386266094421
2,0.825745986745116,0.9087136929460581,0.9615384615384615,0.9701536372026429,0.891089108910891
3,0.9101732025240872,0.9543568464730291,0.9847086375533821,0.9870426303917053,0.9523809523809523
4,0.7613441440508204,0.8796680497925311,0.9663812464907355,0.9617208484686945,0.8449197860962567
5,0.8472185209141466,0.925,0.9519196523968944,0.957726923547211,0.90625
Mean,0.8420983073368244,0.9194398340248963,0.9676435394911248,0.9713066747943232,0.9043356947995085
Std,0.05481969326435421,0.027601510355573892,0.012385860505215465,0.012236314291616285,0.04041397251561668
