GeneID,gene,index
578,BAK1,832
579,NKX3-2,5857
580,BARD1,838
581,BAX,843
582,BBS1,850
583,BBS2,852
585,BBS4,853
586,BCAT1,863
587,BCAT2,864
590,BCHE,866
593,BCKDHA,867
594,BCKDHB,868
595,CCND1,1236
596,BCL2,872
597,BCL2A1,873
598,BCL2L1,874
602,BCL3,879
604,BCL6,880
607,BCL9,881
608,TNFRSF17,9149
610,HCN2,3736
611,OPN1SW,6143
613,BCR,887
617,BCS1L,888
622,BDH1,889
623,BDKRB1,891
624,BDKRB2,892
627,BDNF,893
629,CFB,1508
631,BFSP1,902
632,BGLAP,904
633,BGN,905
634,CEACAM1,1436
635,BHMT,908
637,BID,911
638,BIK,912
639,PRDM1,6917
640,BLK,919
641,BLM,920
642,BLMH,921
643,CXCR5,2087
644,BLVRA,929
645,BLVRB,930
648,BMI1,933
649,BMP1,934
650,BMP2,937
652,BMP4,938
654,BMP6,939
655,BMP7,940
657,BMPR1A,942
658,BMPR1B,943
659,BMPR2,944
660,BMX,946
661,POLR3D,6780
662,BNIP1,947
664,BNIP3,948
665,BNIP3L,949
666,BOK,952
667,DST,2469
671,BPI,956
672,BRCA1,964
673,BRAF,961
675,BRCA2,965
677,ZFP36L1,9941
678,ZFP36L2,9942
682,BSG,986
683,BST1,988
684,BST2,989
685,BTC,994
686,BTD,995
688,KLF5,4560
689,BTF3,996
694,BTG1,997
695,BTK,999
696,BTN1A1,1001
699,BUB1,1006
701,BUB1B,1007
705,BYSL,1011
706,TSPO,9393
708,C1QBP,1019
710,SERPING1,7999
712,C1QA,1018
714,C1QC,1020
716,C1S,1021
717,C2,1022
718,C3,1026
719,C3AR1,1027
720,C4A,1028
721,C4B,1029
722,C4BPA,1030
725,C4BPB,1031
727,C5,1032
728,C5AR1,1033
729,C6,1034
730,C7,1036
731,C8A,1037
732,C8B,1038
735,C9,1039
738,VPS51,9754
740,MRPL49,5385
746,TMEM258,9115
752,FMNL1,3100
759,CA1,1041
760,CA2,1042
768,CA9,1043
773,CACNA1A,1050
774,CACNA1B,1051
775,CACNA1C,1052
776,CACNA1D,1053
777,CACNA1E,1054
778,CACNA1F,1055
779,CACNA1S,1059
781,CACNA2D1,1060
782,CACNB1,1062
783,CACNB2,1063
784,CACNB3,1064
785,CACNB4,1065
786,CACNG1,1066
