Fold,MCC,ACC,AUC,AUPR,F1
1,0.8036259987097257,0.8962655601659751,0.9497006404901142,0.949703668584192,0.8987854251012146
2,0.8377950600368542,0.91701244813278,0.9585917045611133,0.9675589278215582,0.9107142857142857
3,0.8110242457515434,0.9045643153526971,0.9690019460661662,0.9784119937297028,0.9098039215686275
4,0.8911455314646812,0.946058091286307,0.9812343619683069,0.9822650377874971,0.9395348837209303
5,0.8429786765419071,0.9208333333333333,0.9753146853146855,0.9780195663324797,0.9090909090909092
Mean,0.8373139025009424,0.9169467496542186,0.9667686676800773,0.971191838851086,0.9135858850391936
Std,0.03448255489463725,0.01899747574340561,0.01270293803621374,0.013193783931119047,0.01529017892399936
