Fold,MCC,ACC,AUC,AUPR,F1
1,0.6749876139884499,0.8340248962655602,0.9266221108326371,0.948648700985153,0.84
2,0.6769652610503004,0.8381742738589212,0.9080887419043682,0.9180530655678272,0.8296943231441049
3,0.7535725575529792,0.8713692946058091,0.938490408673895,0.9567939242184376,0.8734693877551021
4,0.8075563159312633,0.9045643153526971,0.9651793160967473,0.9652097488807239,0.8949771689497716
5,0.7901744265512675,0.8958333333333334,0.9532867132867133,0.9546175779222936,0.8837209302325582
Mean,0.7406512350148521,0.8687932226832642,0.9383334581588721,0.9486646035148871,0.8643723620163073
Std,0.06217598277194912,0.03226349078400776,0.022339556163419073,0.01811306229594973,0.02824161639771066
