Fold,MCC,ACC,AUC,AUPR,F1
1,0.8331589056919361,0.9158878504672897,0.9782913165266106,0.9825709818797999,0.9174311926605505
2,0.8175450721964791,0.9065420560747663,0.9713286713286713,0.9748093687124618,0.8979591836734695
3,0.8827041784576907,0.9433962264150944,0.9507575757575757,0.9505356191785966,0.9189189189189189
4,0.8046619079442314,0.8962264150943396,0.9707977207977208,0.9764184385055861,0.8888888888888888
5,0.8873743038201038,0.9433962264150944,0.9816715542521994,0.9815455570075174,0.9268292682926829
Mean,0.8450888736220883,0.921089754893317,0.9705693677325555,0.9731759930567924,0.9100054904869023
Std,0.03787576220557484,0.021517657632952998,0.012000237779188915,0.013077493199913512,0.015879657818536754
