Fold,MCC,ACC,AUC,AUPR,F1
1,0.8692774737637278,0.9336099585062241,0.970912599944858,0.9777560259733253,0.9333333333333333
2,0.8429178551380381,0.91701244813278,0.9611919611919613,0.9683791748795776,0.9009900990099009
3,0.8690105097615816,0.9336099585062241,0.9809891169582587,0.9838889050873213,0.9304347826086956
4,0.7849734160797209,0.8921161825726142,0.9781723750701852,0.9742711047266763,0.8631578947368421
5,0.8638076827379478,0.9333333333333333,0.95583731034974,0.9629264816745748,0.9175257731958764
Mean,0.8459973874962031,0.921936376210235,0.9694206727030007,0.9734443384682951,0.9090883765769296
Std,0.03578470845419654,0.01813783817882766,0.010780381134933093,0.008133946722839795,0.02867868503746974
