Fold,MCC,ACC,AUC,AUPR,F1
1,0.8128547272804125,0.9045643153526971,0.970912599944858,0.9773337846597634,0.9029535864978903
2,0.8483299603570569,0.921161825726141,0.9654885654885655,0.9719350209399509,0.9073170731707317
3,0.9111650890193094,0.9543568464730291,0.9794048767047803,0.9840581578237064,0.9519650655021833
4,0.8024608068428207,0.9004149377593361,0.9726979225154407,0.9692745921710939,0.8736842105263157
5,0.865698799221675,0.9333333333333333,0.9502101289265616,0.9569238132709075,0.9157894736842106
Mean,0.848101876544255,0.9227662517289072,0.9677428187160413,0.9719050737730844,0.9103418818762663
Std,0.043623792969930374,0.022040274480653814,0.010989552221335054,0.010106023579503595,0.028149986308908675
