Fold,MCC,ACC,AUC,AUPR,F1
1,0.8781296953497814,0.9377593360995851,0.9792528260270196,0.9844252626491646,0.9372384937238495
2,0.8332404424037437,0.9128630705394191,0.971933471933472,0.9773156366220189,0.8965517241379309
3,0.884826599720085,0.941908713692946,0.9815401570464252,0.9847409238384919,0.9396551724137931
4,0.8168098571458489,0.9087136929460581,0.9690482874789444,0.9640194423045414,0.88659793814433
5,0.8472185209141466,0.925,0.9482156848778402,0.9567108826805778,0.90625
Mean,0.852045023106721,0.9252489626556016,0.9699980854727404,0.9734424296189589,0.9132586656839805
Std,0.02904077388089741,0.014670925316925055,0.013209754460219823,0.012569980890654473,0.024035626701810454
