Fold,MCC,ACC,AUC,AUPR,F1
1,0.8552002186528174,0.9253112033195021,0.9718620689655173,0.979959392933576,0.9243697478991596
2,0.8666883768658697,0.9333333333333333,0.9654737726731564,0.9730204919597281,0.9238095238095239
3,0.8125063466694457,0.9041666666666667,0.954763393787784,0.9640829488488861,0.8959276018099548
4,0.7922948925093583,0.8916666666666667,0.9507885102787947,0.9567317935243939,0.8617021276595745
5,0.8383982160497423,0.9208333333333333,0.9784999999999999,0.9745183700637989,0.8994708994708994
Mean,0.8330176101494466,0.9150622406639004,0.9642775491410503,0.9696625994660766,0.9010559801298225
Std,0.030552378109896312,0.016868950684907312,0.011551053216647188,0.009208910754268612,0.025684596389293726
