Fold,MCC,ACC,AUC,AUPR,F1
1,0.8718415793872,0.9336099585062241,0.9704137931034483,0.981125617731865,0.9327731092436975
2,0.8416548817548624,0.9208333333333333,0.9640030814482807,0.9689706427357645,0.9090909090909091
3,0.8385079384983113,0.9166666666666666,0.9545201862275033,0.9553280975796187,0.909090909090909
4,0.7772325244553573,0.8833333333333333,0.9559983103351168,0.9588194993903598,0.8494623655913979
5,0.8816002765534092,0.9416666666666667,0.9786428571428571,0.9776332657697127,0.9263157894736842
Mean,0.8421674401298281,0.9192219917012447,0.9647156456514413,0.9683754246414642,0.9053466164981195
Std,0.040821872418484985,0.0224047926258029,0.01008567275814396,0.011293557695005113,0.032950749889223495
